epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.45503,2.42306,4.15048,3.50626,1.43547,0.01167,0.01316,0.00594,0.00237,0.01167,0.01316,0.00594,0.00381,1.95069,3.37502,3.56365,1.22297,2e-05,2e-05,2e-05
2,9.23253,2.33869,3.80858,3.5301,1.35693,0.01333,0.01504,0.00679,0.00457,0.01667,0.0188,0.00852,0.00526,1.87576,3.25127,3.54164,1.18591,5.9703e-05,5.9703e-05,5.9703e-05
3,11.2149,2.19917,3.67612,3.52378,1.38629,0.02167,0.02444,0.01118,0.0073,0.02333,0.02632,0.01207,0.00826,1.72439,3.00882,3.49179,1.10365,9.901e-05,9.901e-05,9.901e-05
4,13.23,2.06968,3.25698,3.48533,1.30598,0.01833,0.02068,0.00937,0.00449,0.02667,0.03008,0.01378,0.00658,1.70667,2.77306,3.43848,1.04339,0.000137921,0.000137921,0.000137921
5,15.155,2.049,3.17207,3.48807,1.33702,0.05,0.05639,0.02641,0.00998,0.04833,0.05451,0.02565,0.01141,1.90761,2.57689,3.38618,1.02467,0.000176436,0.000176436,0.000176436
6,16.6633,1.99148,3.04213,3.42527,1.17405,0.05,0.05639,0.02641,0.00998,0.04833,0.05451,0.02565,0.01141,1.90761,2.57689,3.38618,1.02467,0.000214555,0.000214555,0.000214555
7,18.3173,2.02671,2.93258,3.37616,1.19929,0.06667,0.07519,0.03744,0.01393,0.08167,0.09211,0.05122,0.0194,2.2336,2.83662,3.37744,1.06587,0.000252278,0.000252278,0.000252278
8,19.9653,1.91902,2.75382,3.37334,1.14489,0.07,0.07895,0.04243,0.01541,0.09,0.1015,0.06265,0.02649,2.12611,3.13387,3.37544,1.05858,0.000289605,0.000289605,0.000289605
9,21.9016,1.92404,2.65979,3.33221,1.10701,0.07,0.07895,0.04243,0.01541,0.09,0.1015,0.06265,0.02649,2.12611,3.13387,3.37544,1.05858,0.000326536,0.000326536,0.000326536
10,23.5353,2.11046,2.75526,3.31545,1.22748,0.06,0.06767,0.03649,0.01124,0.09667,0.10902,0.06933,0.02946,1.87542,3.11365,3.39051,1.02051,0.000363071,0.000363071,0.000363071
11,25.1564,1.84886,2.74986,3.19736,1.04307,0.06,0.06767,0.03649,0.01124,0.09667,0.10902,0.06933,0.02946,1.87542,3.11365,3.39051,1.02051,0.00039921,0.00039921,0.00039921
12,26.7706,1.71493,2.44962,3.21791,1.01233,0.07833,0.08835,0.0524,0.0163,0.13,0.14662,0.09439,0.0405,1.64696,2.63962,3.41667,0.97824,0.000434953,0.000434953,0.000434953
13,28.2811,1.82472,2.31487,3.11872,1.01361,0.07833,0.08835,0.0524,0.0163,0.13,0.14662,0.09439,0.0405,1.64696,2.63962,3.41667,0.97824,0.0004703,0.0004703,0.0004703
14,30.3457,1.66406,2.31071,3.1377,1.05913,0.07833,0.08835,0.0524,0.0163,0.13,0.14662,0.09439,0.0405,1.64696,2.63962,3.41667,0.97824,0.000505251,0.000505251,0.000505251
15,31.8156,1.82049,2.3755,3.08012,0.99464,0.105,0.11842,0.08617,0.0239,0.17,0.19173,0.13358,0.04746,1.54395,2.44698,3.37212,0.96044,0.000539806,0.000539806,0.000539806
16,33.2641,1.87593,2.36701,3.02422,1.06953,0.105,0.11842,0.08617,0.0239,0.17,0.19173,0.13358,0.04746,1.54395,2.44698,3.37212,0.96044,0.000573965,0.000573965,0.000573965
17,35.0781,1.7279,2.26018,3.03722,1.01009,0.105,0.11842,0.08617,0.0239,0.17,0.19173,0.13358,0.04746,1.54395,2.44698,3.37212,0.96044,0.000607728,0.000607728,0.000607728
18,36.6206,1.91796,2.55686,3.05047,1.09684,0.07333,0.08271,0.05852,0.02006,0.12333,0.1391,0.10394,0.04024,1.48523,2.29655,3.35908,0.94856,0.000641095,0.000641095,0.000641095
19,38.139,1.68752,2.31541,3.00865,0.99047,0.07333,0.08271,0.05852,0.02006,0.12333,0.1391,0.10394,0.04024,1.48523,2.29655,3.35908,0.94856,0.000674066,0.000674066,0.000674066
20,39.7013,1.71605,2.33102,3.02259,1.00547,0.07333,0.08271,0.05852,0.02006,0.12333,0.1391,0.10394,0.04024,1.48523,2.29655,3.35908,0.94856,0.000706641,0.000706641,0.000706641
21,41.3832,1.71064,2.32722,3.03364,1.04159,0.06,0.06767,0.05353,0.01048,0.14167,0.15977,0.12576,0.04464,1.4739,2.149,3.36343,0.94946,0.00073882,0.00073882,0.00073882
22,42.932,1.71344,2.35406,2.92202,0.97227,0.06,0.06767,0.05353,0.01048,0.14167,0.15977,0.12576,0.04464,1.4739,2.149,3.36343,0.94946,0.000770603,0.000770603,0.000770603
23,44.5396,1.96192,2.44627,2.98321,1.06897,0.06,0.06767,0.05353,0.01048,0.14167,0.15977,0.12576,0.04464,1.4739,2.149,3.36343,0.94946,0.00080199,0.00080199,0.00080199
24,46.151,1.77451,2.21411,2.98754,1.09649,0.06,0.06767,0.05353,0.01048,0.14167,0.15977,0.12576,0.04464,1.4739,2.149,3.36343,0.94946,0.000832981,0.000832981,0.000832981
25,47.8269,1.6367,2.06365,2.93634,1.00298,0.03833,0.04323,0.03021,0.00698,0.10167,0.11466,0.09099,0.02669,1.53592,2.4222,3.33038,0.96579,0.000863576,0.000863576,0.000863576
26,49.4228,1.80636,2.43973,2.84967,1.05704,0.03833,0.04323,0.03021,0.00698,0.10167,0.11466,0.09099,0.02669,1.53592,2.4222,3.33038,0.96579,0.000893775,0.000893775,0.000893775
27,51.0052,1.90945,2.31812,2.77399,1.05837,0.03833,0.04323,0.03021,0.00698,0.10167,0.11466,0.09099,0.02669,1.53592,2.4222,3.33038,0.96579,0.000923578,0.000923578,0.000923578
28,52.6066,1.90942,2.4032,2.81121,1.03537,0.03833,0.04323,0.03021,0.00698,0.10167,0.11466,0.09099,0.02669,1.53592,2.4222,3.33038,0.96579,0.000952985,0.000952985,0.000952985
29,54.1807,1.99713,2.56792,2.77102,1.02278,0.03833,0.04323,0.03021,0.00698,0.10167,0.11466,0.09099,0.02669,1.53592,2.4222,3.33038,0.96579,0.000981996,0.000981996,0.000981996
30,55.9183,1.74361,2.18141,2.78308,0.99319,0.04167,0.04699,0.02638,0.00817,0.115,0.1297,0.0785,0.02742,1.52046,2.27481,3.24263,0.95716,0.00101061,0.00101061,0.00101061
31,57.5251,1.7772,2.24155,2.60623,0.96766,0.04167,0.04699,0.02638,0.00817,0.115,0.1297,0.0785,0.02742,1.52046,2.27481,3.24263,0.95716,0.00103883,0.00103883,0.00103883
32,59.1591,1.74169,2.20926,2.60365,0.9621,0.04167,0.04699,0.02638,0.00817,0.115,0.1297,0.0785,0.02742,1.52046,2.27481,3.24263,0.95716,0.00106665,0.00106665,0.00106665
33,60.8143,1.72478,2.19685,2.68608,1.03138,0.04167,0.04699,0.02638,0.00817,0.115,0.1297,0.0785,0.02742,1.52046,2.27481,3.24263,0.95716,0.00109408,0.00109408,0.00109408
34,62.4579,1.8111,2.30852,2.58813,0.95689,0.04167,0.04699,0.02638,0.00817,0.115,0.1297,0.0785,0.02742,1.52046,2.27481,3.24263,0.95716,0.00112111,0.00112111,0.00112111
35,64.0087,1.93598,2.41887,2.58834,0.96099,0.04167,0.04699,0.02638,0.00817,0.115,0.1297,0.0785,0.02742,1.52046,2.27481,3.24263,0.95716,0.00114775,0.00114775,0.00114775
36,65.6697,1.82103,2.36766,2.60862,0.95811,0.20167,0.22744,0.19568,0.10224,0.22333,0.25188,0.21235,0.11441,1.64073,2.38129,3.04545,0.95411,0.00117399,0.00117399,0.00117399
37,67.1837,1.9227,2.43248,2.43152,1.00174,0.20167,0.22744,0.19568,0.10224,0.22333,0.25188,0.21235,0.11441,1.64073,2.38129,3.04545,0.95411,0.00119983,0.00119983,0.00119983
38,68.8474,1.63242,2.07017,2.51412,0.99524,0.20167,0.22744,0.19568,0.10224,0.22333,0.25188,0.21235,0.11441,1.64073,2.38129,3.04545,0.95411,0.00122528,0.00122528,0.00122528
39,70.4253,2.00524,2.40275,2.47757,0.96717,0.20167,0.22744,0.19568,0.10224,0.22333,0.25188,0.21235,0.11441,1.64073,2.38129,3.04545,0.95411,0.00125033,0.00125033,0.00125033
40,72.0076,2.13026,2.40765,2.47181,1.00353,0.20167,0.22744,0.19568,0.10224,0.22333,0.25188,0.21235,0.11441,1.64073,2.38129,3.04545,0.95411,0.00127498,0.00127498,0.00127498
41,73.4865,1.81528,2.2561,2.48015,0.97936,0.20167,0.22744,0.19568,0.10224,0.22333,0.25188,0.21235,0.11441,1.64073,2.38129,3.04545,0.95411,0.00129924,0.00129924,0.00129924
42,75.1272,2.01772,2.57716,2.44855,0.97883,0.20167,0.22744,0.19568,0.10224,0.22333,0.25188,0.21235,0.11441,1.64073,2.38129,3.04545,0.95411,0.0013231,0.0013231,0.0013231
43,76.8152,1.83918,2.25159,2.46417,0.95647,0.38833,0.43797,0.45349,0.27251,0.39833,0.44925,0.46007,0.25542,1.63408,2.5539,2.75111,0.93864,0.00134657,0.00134657,0.00134657
44,78.4557,1.70779,2.14627,2.25652,0.97488,0.38833,0.43797,0.45349,0.27251,0.39833,0.44925,0.46007,0.25542,1.63408,2.5539,2.75111,0.93864,0.00136964,0.00136964,0.00136964
45,80.0567,1.78641,2.23725,2.31302,1.00235,0.38833,0.43797,0.45349,0.27251,0.39833,0.44925,0.46007,0.25542,1.63408,2.5539,2.75111,0.93864,0.00139232,0.00139232,0.00139232
46,81.8525,1.85528,2.04459,2.26962,0.9508,0.38833,0.43797,0.45349,0.27251,0.39833,0.44925,0.46007,0.25542,1.63408,2.5539,2.75111,0.93864,0.0014146,0.0014146,0.0014146
47,83.4658,1.79009,2.11635,2.29002,0.96173,0.38833,0.43797,0.45349,0.27251,0.39833,0.44925,0.46007,0.25542,1.63408,2.5539,2.75111,0.93864,0.00143648,0.00143648,0.00143648
48,86.0447,1.69468,2.13787,2.37685,1.02063,0.38833,0.43797,0.45349,0.27251,0.39833,0.44925,0.46007,0.25542,1.63408,2.5539,2.75111,0.93864,0.00145797,0.00145797,0.00145797
49,87.7237,1.91599,2.22209,2.30618,0.96059,0.38833,0.43797,0.45349,0.27251,0.39833,0.44925,0.46007,0.25542,1.63408,2.5539,2.75111,0.93864,0.00147906,0.00147906,0.00147906
50,89.5108,1.83923,2.27433,2.30617,0.97685,0.38833,0.43797,0.45349,0.27251,0.39833,0.44925,0.46007,0.25542,1.63408,2.5539,2.75111,0.93864,0.00149975,0.00149975,0.00149975
51,91.1874,1.59379,2.07965,2.33299,1.00679,0.42167,0.47556,0.49165,0.21635,0.41333,0.46617,0.47315,0.18853,1.80754,2.79635,2.46698,0.96917,0.001505,0.001505,0.001505
52,92.9489,2.02061,2.46408,2.08769,0.9744,0.42167,0.47556,0.49165,0.21635,0.41333,0.46617,0.47315,0.18853,1.80754,2.79635,2.46698,0.96917,0.0014951,0.0014951,0.0014951
53,94.5455,1.78729,2.26977,2.14032,0.96287,0.42167,0.47556,0.49165,0.21635,0.41333,0.46617,0.47315,0.18853,1.80754,2.79635,2.46698,0.96917,0.0014852,0.0014852,0.0014852
54,96.7073,1.61635,2.01546,2.2594,1.01705,0.42167,0.47556,0.49165,0.21635,0.41333,0.46617,0.47315,0.18853,1.80754,2.79635,2.46698,0.96917,0.0014753,0.0014753,0.0014753
55,98.2369,1.74198,2.15504,2.24358,1.07354,0.42167,0.47556,0.49165,0.21635,0.41333,0.46617,0.47315,0.18853,1.80754,2.79635,2.46698,0.96917,0.0014654,0.0014654,0.0014654
56,99.8261,1.65014,2.10222,2.28405,1.0569,0.42167,0.47556,0.49165,0.21635,0.41333,0.46617,0.47315,0.18853,1.80754,2.79635,2.46698,0.96917,0.0014555,0.0014555,0.0014555
